id,insight_type,date_or_month,account_number,category,amount,income,expense,balance,notes,user_id
73a052e5-eb54-46de-8235-478b506dceea,Monthly Spend Summary,2023-04,,,765.97,,,,,839a60a1-91b1-4d97-a935-5724cf3463bb
0a7177c8-0582-4dc5-8646-29649013c7cd,Monthly Spend Summary,2023-05,,,516.35,,,,,839a60a1-91b1-4d97-a935-5724cf3463bb
83d47b92-ef63-4ac7-919d-b5175916a5fb,Monthly Spend Summary,2023-06,,,542.5,,,,,839a60a1-91b1-4d97-a935-5724cf3463bb
65e00bc5-7da6-46a2-b810-82e321d55b8f,Monthly Spend Summary,2023-07,,,716.22,,,,,839a60a1-91b1-4d97-a935-5724cf3463bb
995d1eac-c200-4a91-b538-c20699edf274,Monthly Spend Summary,2023-08,,,1629.63,,,,,839a60a1-91b1-4d97-a935-5724cf3463bb
84a51935-8ea0-4dba-ad25-bb3ff1f735dd,Monthly Spend Summary,2023-09,,,563.95,,,,,839a60a1-91b1-4d97-a935-5724cf3463bb
2231df8e-f471-4910-9b74-d8522fc2d804,Monthly Spend Summary,2023-10,,,1262.03,,,,,839a60a1-91b1-4d97-a935-5724cf3463bb
9dab456c-d22b-4e4b-9c97-be405b540138,Monthly Spend Summary,2023-11,,,1278.68,,,,,839a60a1-91b1-4d97-a935-5724cf3463bb
1dab7ab7-8ffb-4c34-9e78-d1960310368b,Monthly Spend Summary,2023-12,,,1089.42,,,,,839a60a1-91b1-4d97-a935-5724cf3463bb
dc2d5238-ccf0-4a88-80b5-45e790ba5190,Monthly Spend Summary,2024-01,,,466.93,,,,,839a60a1-91b1-4d97-a935-5724cf3463bb
b0d4e109-54c7-4bc6-8eb7-e258ba8c9abc,Monthly Spend Summary,2024-02,,,1338.3600000000001,,,,,839a60a1-91b1-4d97-a935-5724cf3463bb
10f45d0f-3547-486f-abf2-65e0212d3601,Monthly Spend Summary,2024-03,,,1149.03,,,,,839a60a1-91b1-4d97-a935-5724cf3463bb
84c9088e-fa85-4a3c-8c7e-5237a39e3a1c,Monthly Spend Summary,2024-04,,,492.88,,,,,839a60a1-91b1-4d97-a935-5724cf3463bb
57fa8d0d-d361-48dc-86a6-aa9d9a5e674b,Monthly Spend Summary,2024-05,,,720.7,,,,,839a60a1-91b1-4d97-a935-5724cf3463bb
d3755fee-4ad1-4998-bb68-c5e8eb05f4b7,Monthly Spend Summary,2024-06,,,1012.32,,,,,839a60a1-91b1-4d97-a935-5724cf3463bb
d766c7ee-5ceb-4f53-98d3-90b364f38e59,Monthly Spend Summary,2024-07,,,1179.38,,,,,839a60a1-91b1-4d97-a935-5724cf3463bb
ec85e8c0-bf33-40ce-a859-51a44791bf1d,Monthly Spend Summary,2024-08,,,620.71,,,,,839a60a1-91b1-4d97-a935-5724cf3463bb
dcbd43b2-e691-43b8-8e96-01dc560943fa,Monthly Spend Summary,2024-09,,,1244.67,,,,,839a60a1-91b1-4d97-a935-5724cf3463bb
67e86343-2a88-4f6c-acc9-66f276ca1ea3,Monthly Spend Summary,2024-10,,,1620.38,,,,,839a60a1-91b1-4d97-a935-5724cf3463bb
987a7c72-caa8-40d9-9dfd-1a0014d9e014,Monthly Spend Summary,2024-11,,,682.14,,,,,839a60a1-91b1-4d97-a935-5724cf3463bb
ae834fd2-1946-4923-b697-1b834ed39991,Monthly Spend Summary,2024-12,,,868.45,,,,,839a60a1-91b1-4d97-a935-5724cf3463bb
cbba7711-2178-42fe-b71a-d35e3aecdbed,Monthly Spend Summary,2025-01,,,939.86,,,,,839a60a1-91b1-4d97-a935-5724cf3463bb
5c11ef4e-144b-49f3-af77-17f178bb4ffe,Monthly Spend Summary,2025-02,,,526.0699999999999,,,,,839a60a1-91b1-4d97-a935-5724cf3463bb
cf1e5fb2-835b-45d8-ae8b-b9ad114243a7,Monthly Spend Summary,2025-03,,,689.41,,,,,839a60a1-91b1-4d97-a935-5724cf3463bb
cf612db5-9d4c-40d7-a222-93af945565e7,Monthly Spend Summary,2025-04,,,272.46,,,,,839a60a1-91b1-4d97-a935-5724cf3463bb
a16dae94-d9d4-4a2d-a6c0-0b0451c7c29d,Income vs Expense,2023-04,,,,1416.21,765.97,,Net Savings: 650.24,839a60a1-91b1-4d97-a935-5724cf3463bb
f602136f-4cae-41bc-9155-8df3a24134a4,Income vs Expense,2023-05,,,,2056.27,516.35,,Net Savings: 1539.92,839a60a1-91b1-4d97-a935-5724cf3463bb
446ab674-fc3a-49a5-b736-8f24bec783de,Income vs Expense,2023-06,,,,3324.43,542.5,,Net Savings: 2781.93,839a60a1-91b1-4d97-a935-5724cf3463bb
21cf0829-c075-443d-a91a-5bbd4944c3ef,Income vs Expense,2023-07,,,,2419.54,716.22,,Net Savings: 1703.32,839a60a1-91b1-4d97-a935-5724cf3463bb
bfeb2a86-addf-428f-a113-3d922b2a2ed8,Income vs Expense,2023-08,,,,1200.3,1629.63,,Net Savings: -429.33,839a60a1-91b1-4d97-a935-5724cf3463bb
a07de1e5-9c1d-400b-b183-c79211e09544,Income vs Expense,2023-09,,,,2916.58,563.95,,Net Savings: 2352.63,839a60a1-91b1-4d97-a935-5724cf3463bb
c828fa8e-5902-4b36-b782-046844406f2f,Income vs Expense,2023-10,,,,2286.5,1262.03,,Net Savings: 1024.47,839a60a1-91b1-4d97-a935-5724cf3463bb
